=== SOAK START 2026-06-26 12:22:34 ===
[15:44:16] eranda-collector CPU=128.60% MEM=599.1MiB / 3.819GiB eranda-redis CPU=1.88% MEM=23.77MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=16 keys=39  || reconnect_olayı(son200satır)=1
[15:46:19] eranda-collector CPU=142.37% MEM=598.4MiB / 3.819GiB eranda-redis CPU=3.24% MEM=25.29MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=1 keys=39  || reconnect_olayı(son200satır)=1
[15:48:21] eranda-collector CPU=130.12% MEM=598.8MiB / 3.819GiB eranda-redis CPU=18.18% MEM=26.12MiB / 3.819GiB  || CONSUMER-1 q=3 keys=39 CONSUMER-0 q=82 keys=39  || reconnect_olayı(son200satır)=1
[15:50:23] eranda-collector CPU=188.06% MEM=597.8MiB / 3.819GiB eranda-redis CPU=2.19% MEM=25.29MiB / 3.819GiB  || CONSUMER-1 q=6 keys=39 CONSUMER-0 q=72 keys=39  || reconnect_olayı(son200satır)=1
[15:52:25] eranda-collector CPU=179.82% MEM=599.6MiB / 3.819GiB eranda-redis CPU=4.12% MEM=25.32MiB / 3.819GiB  || CONSUMER-0 q=96 keys=39 CONSUMER-1 q=7 keys=39  || reconnect_olayı(son200satır)=1
[15:54:28] eranda-collector CPU=7.77% MEM=597.2MiB / 3.819GiB eranda-redis CPU=2.00% MEM=25.73MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=2
[15:56:30] eranda-collector CPU=217.29% MEM=598.7MiB / 3.819GiB eranda-redis CPU=2.58% MEM=24.99MiB / 3.819GiB  || CONSUMER-1 q=240 keys=39 CONSUMER-0 q=558 keys=39  || reconnect_olayı(son200satır)=0
[15:58:32] eranda-collector CPU=211.43% MEM=598.6MiB / 3.819GiB eranda-redis CPU=3.13% MEM=25.87MiB / 3.819GiB  || CONSUMER-1 q=1039 keys=39 CONSUMER-0 q=627 keys=39  || reconnect_olayı(son200satır)=0
[16:00:35] eranda-collector CPU=216.41% MEM=597.6MiB / 3.819GiB eranda-redis CPU=2.76% MEM=24.87MiB / 3.819GiB  || CONSUMER-0 q=2143 keys=39 CONSUMER-1 q=2870 keys=39  || reconnect_olayı(son200satır)=0
[16:02:37] eranda-collector CPU=227.69% MEM=630.2MiB / 3.819GiB eranda-redis CPU=3.38% MEM=25.02MiB / 3.819GiB  || CONSUMER-1 q=5695 keys=39 CONSUMER-0 q=7323 keys=39  || reconnect_olayı(son200satır)=0
